Article ID,Domain,Date,Category,Headline,Content,Label,Source,Relation,F-Type
11,Facebook Page,2025-12-31 12:41:00,Politics,রাজাকারের দল জামায়াত ইসলামীর সাথে এনসিপি জোট করলে আমি পদত্যাগ করব,"আসন্ন ত্রয়োদশ জাতীয় সংসদ নির্বাচন উপলক্ষে বাংলাদেশ জামায়াতে ইসলামীর নেতৃত্বাধীন হয়ে ১০ দল জোট বা সমঝোতা করেছে যার মধ্যে রয়েছে জাতীয় নাগরিক পার্টি-এনসিপি। এরই প্রেক্ষিতে জাতীয় নাগরিক পার্টির (এনসিপি) দক্ষিণাঞ্চলের মুখ্য সংগঠক হাসনাত আবদুল্লাহ বলেছেন, ‘রাজাকারের দল জামায়াত ইসলামীর সাথে এনসিপি জোট করলে আমি পদত্যাগ করব’।",0,rumorscanner.com,Related,Fabricated
12,Facebook Page,2025-12-31 12:38:00,International,ফ্রান্সে গ্রেফতার অনলাইন অ্যাক্টিভিস্ট পিনাকী ভট্টাচার্য ,"অন্তত ২৯ ডিসেম্বর রাত থেকে সামাজিক যোগাযোগ মাধ্যমে দাবি প্রচার করা হয়েছে, ‘ব্রেকিং নিউজ ফ্রান্সে গ্রেফতার পিনাকী ভট্টাচার্য ফ্রান্স থেকে গ্রেফতারের ভিডিও দেখুন কমেন্টে’। বিস্তারিত দাবিতে একটি লিঙ্ক পোস্টের মন্তব্য সেকশনে সংযুক্ত করা হয় যেখানে দাবি করা হয়, ‘ফ্রান্সে গ্রেফতার অনলাইন অ্যাক্টিভিস্ট পিনাকী ভট্টাচার্য | বাংলাদেশে গুজব ও বিভ্রান্তিকর তথ্য ছড়িয়ে বিভিন্ন অপ্রতিকর ঘটনা ঘটানোর অভিযোগে ফ্রান্সে বসবাসরত অনলাইন অ্যাক্টিভিস্ট ও ইউটিউবার পিনাকী ভট্টাচার্যকে এইমাত্র গ্রেফতার করেছে ফ্রান্স পুলিশ। প্রাপ্ত তথ্যমতে, আজ স্থানীয় সময় প্যারিসে তাঁর অবস্থানস্থল থেকে ফরাসি আইনশৃঙ্খলা বাহিনী তাকে আটক করে। ইউটিউব ও সামাজিক যোগাযোগমাধ্যমে প্রকাশিত একাধিক ভিডিও এবং বক্তব্যকে কেন্দ্র করে দীর্ঘদিন ধরেই তাঁর কার্যক্রম নজরদারিতে ছিল বলে জানিয়েছে সংশ্লিষ্ট সূত্র। অভিযোগে বলা হচ্ছে, পিনাকী ভট্টাচার্যের তৈরি কনটেন্ট বাংলাদেশের অভ্যন্তরীণ পরিস্থিতি নিয়ে বিভ্রান্তি ছড়ানো, জনমনে আতঙ্ক সৃষ্টি এবং অস্থিতিশীলতা উসকে দিতে ভূমিকা রেখেছে। এসব অভিযোগের ভিত্তিতেই ফ্রান্সের সাইবার ক্রাইম ও ডিজিটাল ডিসইনফরমেশন আইনে তাকে গ্রেফতার করা হয়েছে।..’",0,rumorscanner.com,Related,Fabricated
13,Facebook Page,2025-12-31 12:35:00,Politics,ওসমান হাদির মৃত্যুতে তারকাদের একাংশ আত্মহত্যার ঘোষণা দিলেন,‘ওসমান হাদির মৃত্যুতে তারকাদের একাংশ আত্মহত্যার ঘোষণা দিলেন’,0,rumorscanner.com,Related,Fabricated
14,Facebook Page,2025-12-31 12:32:00,Politics,"কষ্ট হলেও বলতে চাই, সবাই ১৬ই ডিসেম্বর বিজয় দিবস পালন করবেন: ডাঃ শফিকুর রহমান","বাংলাদেশ জামায়াতে ইসলামীর আমীর শফিকুর রহমানকে উদ্ধৃত করে ‘কষ্ট হলেও বলতে চাই, সবাই ১৬ই ডিসেম্বর বিজয় দিবস পালন করবেন: ডাঃ শফিকুর রহমান’",0,rumorscanner.com,Related,Fabricated
15,Facebook Page,2025-12-31 12:45:00,Politics,আগে ছাত্রদলের পোগ্রামে গেলে বিভিন্ন খারাপ কাজে লিপ্ত হতে জোরপূর্বক বাধ্য করলেও বর্তমানে তাদের কাছে নিরাপদ মনে করি, ঢাকা বিশ্ববিদ্যালয়ের কবি সুফিয়া কামাল হল ছাত্রদলের আহবায়ক তাওহিদা সুলতানা ‘আগে ছাত্রদলের পোগ্রামে গেলে বিভিন্ন খারাপ কাজে লিপ্ত হতে জোরপূর্বক বাধ্য করলেও বর্তমানে তাদের কাছে নিরাপদ মনে করি’ ,0,rumorscanner.com,Related,Fabricated
16,Facebook Page,2025-12-31 12:32:00,Politics,সে (খালেদা জিয়া) মারা গিয়েছেন অনেক আগেই কিন্তু তার ছেলের (তারেক রহমান) জন্য প্রকাশ করা হয়নি," বিএনপির চেয়ারপারসন ও সাবেক প্রধানমন্ত্রী খালেদা জিয়ার ভোরে মৃত্যু প্রেক্ষিতে সামাজিক যোগাযোগ মাধ্যমে বাংলাদেশ জামায়াতে ইসলামীর আমীর  ডা. শফিকুর রহমান বলেছেন, ‘সে (খালেদা জিয়া) মারা গিয়েছেন অনেক আগেই কিন্তু তার ছেলের (তারেক রহমান) জন্য প্রকাশ করা হয়নি’। এরূপ পোস্ট প্রচার করে ক্যাপশনে বিএনপির ভারপ্রাপ্ত চেয়ারম্যান তারেক রহমানকে উদ্দেশ্য করে লেখা হয়, ‘যে নিজের মায়ের সাথে এমন আচরণ করতে পারে, সে ছেলের কাছে জাতি ভালো কোন কিছু আশা করতে পারে’।",0,rumorscanner.com,Related,Fabricated
17,Facebook Page,2025-12-31 12:08:00,Politics,ইন্না লিল্লাহ ওসমান হাদীর পর এবার গুলি বিদ্ধ রাশেদ খান?,গত ১২ ডিসেম্বর ঢাকার পুরানা পল্টনের বক্স কালভার্ট রোডে ইনকিলাব মঞ্চের মুখপাত্র শরিফ ওসমান হাদি মাথায় গুলিবিদ্ধ হন। এই ঘটনার প্রেক্ষিতে গত ১৪ ডিসেম্বর থেকে গণঅধিকার পরিষদের তৎকালীন সাধারণ সম্পাদক মো. রাশেদ খাঁনের ছবিযুক্ত ‘ইন্না লিল্লাহ ওসমান হাদীর পর এবার গুলি বিদ্ধ রাশেদ খান? ,0,rumorscanner.com,Related,Altered
18,Facebook Page,2025-12-31 12:03:00,International,মক্কায় উমরাহের স্থানে আগুন, মক্কায় উমরাহের স্থানে আগুনের দাবিতে একটি ভিডিও সামাজিক যোগাযোগ মাধ্যমে প্রচার করা হয়েছে। ,0,rumorscanner.com,Related,Fabricated
19,Facebook Page,2025-12-31 12:00:00,Politics,"অতীতে ছাত্রলীগ করেছি বর্তমানে শিবির করি এটা আমার গনতান্ত্রিক অধিকার, এটা নিয়েও বিএনপি অপপ্রচার করেছে”","ডাকসু ভিপি ও ছাত্রশিবিরের প্রকাশনা সম্পাদক সাদিক কায়েম বলেছেন- “অতীতে ছাত্রলীগ করেছি বর্তমানে শিবির করি এটা আমার গনতান্ত্রিক অধিকার, এটা নিয়েও বিএনপি অপপ্রচার করেছে”।",0,rumorscanner.com,Related,Fabricated
20,Facebook Page,2025-12-31 11:49:00,Politics,খালেদা জিয়ার হত্যাকারী জামায়াত-শিবির নিষিদ্ধ চাই,"বিএনপির চেয়ারপারসন ও সাবেক প্রধানমন্ত্রী খালেদা জিয়ার গতকাল (৩০ ডিসেম্বর) ভোরে মৃত্যু হয়েছে। এরই প্রেক্ষিতে ৩০ ডিসেম্বর অন্তত বিকেল থেকে ‘আমার মা কে হত্যার সাথে জড়িত জামাত শিবির কে নিষিদ্ধ চাই:  এছাড়াও, ক্যাপশনে দাবি করা হয়, বিএনপি সংবাদ সম্মেলনে বলেছে খালেদা জিয়াকে সুকৌশলে বিষ প্রয়োগে হাসপাতালে জামাত শিবির হত্যা করেছে।",0,rumorscanner.com,Related,Fabricated
21,Facebook Page,2025-12-31 11:37:00,Politics,ইসলামি বিশ্ববিদ্যালয় শিবির কর্মিদের হাতে সাজিদ নামে এক শিক্ষার্থী খুন,‘ইসলামি বিশ্ববিদ্যালয় শিবির কর্মিদের হাতে সাজিদ নামে এক শিক্ষার্থী খুন’ ,0,rumorscanner.com,Related,Fabricated
22,Facebook Page,2025-12-31 11:10:00,Politics,সেনাবাহিনীর অভিযানে এনসিপির সমন্বয়ক তাসনিম জারার বাড়ি থেকে ১৬ কোটি টাকা উদ্ধার, “সেনাবাহিনীর অভিযানে এনসিপির সমন্বয়ক তাসনিম জারার বাড়ি থেকে ১৬ কোটি টাকা উদ্ধার” ,0,rumorscanner.com,Related,Fabricated
23,Facebook Page,2025-12-30 11:03:00,Politics,"শেখ হাসিনা ভয় নাই, রাজপথ ছাড়ি নাই/ আছিস যত রাজাকার, এই মুহুর্তে বাংলা ছাড়","বাংলাদেশ ছাত্রলীগের সাম্প্রতিক বিক্ষোভ মিছিলে বিক্ষোভকারীদের, ‘শেখ হাসিনা ভয় নাই, রাজপথ ছাড়ি নাই/ আছিস যত রাজাকার, এই মুহুর্তে বাংলা ছাড়’ শীর্ষক স্লোগান দিতে শোনা যায়।",0,rumorscanner.com,Related,Altered
24,Facebook Page,2025-12-30 6:33:00,Politics,নিষিদ্ধ ছাত্রলীগ রাস্তা বন্ধ করে দিল,‘নিষিদ্ধ ছাত্রলীগ রাস্তা বন্ধ করে দিল’ ,0,rumorscanner.com,Related,Fabricated
25,Facebook Page,2025-12-30 6:28:00,Politics,কষ্ট হলেও মেনে নেন শেখ হাসিনা ডাক দিলে ১৬ কোটি জনগন রাজপথে আসবে দেশ আবার স্বাধীন করতে হবে,"সামাজিক যোগাযোগ মাধ্যমে দাবি প্রচার করা হয়েছে , কৃষক শ্রমিক জনতা লীগের সভাপ‌তি কাদের সিদ্দিকী বলেছেন “কষ্ট হলেও মেনে নেন শেখ হাসিনা ডাক দিলে ১৬ কোটি জনগন রাজপথে আসবে দেশ আবার স্বাধীন করতে হবে”। শীর্ষক দাবিতে কাদের সিদ্দিকী",0,rumorscanner.com,Related,Fabricated
26,Facebook Page,2025-12-30 5:40:00,Politics,‘ভারত বিরোধিতার কথা যারা বলে সবগুলোই রাজাকারের বাচ্চা’ ফজলুর রহমান," কিশোরগঞ্জ-৪ আসনে বিএনপি মনোনীত প্রার্থী ও সাবেক সংসদ সদস্য অ্যাডভোকেট ফজলুর রহমানকে উদ্ধৃত করে ‘ভারত বিরোধিতার কথা যারা বলে সবগুলোই রাজাকারের বাচ্চা, এখন পর্যন্ত আমাদের সবচেয়ে কাছের বন্ধু ভারত’ ",0,rumorscanner.com,Related,Fabricated
27,Facebook Page,2025-12-30 5:31:00,Politics,জুলাই আন্দোলন করে ভুল করেছি: বাঁধন,জুলাই আন্দোলনে রাজপথে সরব থাকা অভিনেত্রী আজমেরী হক বাঁধনকে উদ্ধৃত করে ‘ জুলাই আন্দোলন করে ভুল করেছি: বাঁধন’ ,0,rumorscanner.com,Related,Fabricated
28,Facebook Page,2025-12-30 5:04:00,Politics,"দেশে থাকতে চাই না, দেশটা ধ্বং’স হয়ে গেছে","‘দেশে থাকতে চাই না, দেশটা ধ্বং’স হয়ে গেছে’ শীর্ষক মন্তব্যটি জাতীয় নাগরিক পার্টির আহবায়ক নাহিদ ইসলাম করেছেন ",0,rumorscanner.com,Related,Fabricated
29,Facebook Page,2025-12-30 4:54:00,Politics,শেখ হাসিনার আমলেই দেশ বেশি নিরাপদে ছিল: ঘোষণা জাতিসংঘের!,জুলাই গণ-অভ্যুত্থানের সময় সংঘটিত মানবতাবিরোধী অপরাধের দায়ে দন্ডিত ক্ষমতাচ্যুত প্রধানমন্ত্রী শেখ হাসিনাকে উদ্ধৃত করে ‘শেখ হাসিনার আমলেই দেশ বেশি নিরাপদে ছিল: ঘোষণা জাতিসংঘের!’ ,0,rumorscanner.com,Related,Fabricated
30,Facebook Page,2025-12-30 4:39:00,Politics,জাতিসংঘের ‘শ্রেষ্ঠ নারী’ উপাধি পেয়েছেন আদালতে দণ্ডপ্রাপ্ত ক্ষমতাচ্যুত সাবেক প্রধানমন্ত্রী শেখ হাসিনা,সামাজিক যোগাযোগ মাধ্যমে একটি ফটোকার্ড প্রচার করে দাবি করা হয় জাতিসংঘের ‘শ্রেষ্ঠ নারী’ উপাধি পেয়েছেন আদালতে দণ্ডপ্রাপ্ত ক্ষমতাচ্যুত সাবেক প্রধানমন্ত্রী শেখ হাসিনা। ,0,fact-watch.org,Related,Fabricated
31,Facebook Page,2025-12-30 4:03:00,Politics,সাবেক প্রধানমন্ত্রী শেখ হাসিনাকে আমি আমার বড় বোন মনে করি শালাউদ্দিন আহমেদ,বাংলাদেশ জাতীয়তাবাদী দল (বিএনপি) এর জাতীয় স্থায়ী কমিটির সদস্য সালাহউদ্দিন আহমদকে উদ্ধৃত করে ‘সাবেক প্রধানমন্ত্রী শেখ হাসিনাকে আমি আমার বড় বোন মনে করি শালাউদ্দিন আহমেদ’ ,0,rumorscanner.com,Related,Altered
32,Facebook Page,2025-12-30 3:37:00,Politics,"যে দেশে শিবির আছে, সেই দেশে আলাদা শত্রুর প্রয়োজন নাই","স্বরাষ্ট্র উপদেষ্টা মো. জাহাঙ্গীর আলম চৌধুরী বলেছেন, “যে দেশে শিবির আছে, সেই দেশে আলাদা শত্রুর প্রয়োজন নাই”।",0,rumorscanner.com,Related,Fabricated
33,Facebook Page,2025-12-30 1:40:00,Politics,“রাতে বাসায় ফেরার পথে সংঘবদ্ধ ধর্ষণের শিকার জুলাই যোদ্ধা ডাঃ মাহমুদা মিতু” ও ‘বাসায় ফেরার পথে সংঘবদ্ধ ধর্ষণের শিকার চট্টগ্রাম ১০ আসনের এমপি প্রার্থী ও এনসিপি নেত্রী সাগুফতা মিশমা’,“রাতে বাসায় ফেরার পথে সংঘবদ্ধ ধর্ষণের শিকার জুলাই যোদ্ধা ডাঃ মাহমুদা মিতু” ও ‘বাসায় ফেরার পথে সংঘবদ্ধ ধর্ষণের শিকার চট্টগ্রাম ১০ আসনের এমপি প্রার্থী ও এনসিপি নেত্রী সাগুফতা মিশমা’ ,0,fact-watch.org,Related,Fabricated
34,Facebook Page,2025-12-30 1:08:00,Politics,‘আমাদের জোটে একমাত্র শায়খ মামুনুল হক সাহেব এদেশের রাষ্ট্রপতি প্রধানমন্ত্রী হওয়ার যোগ্যতা রাখে,"আসন্ন সংসদ নির্বাচনকে সামনে রেখে জামায়াতে ইসলামীর নেতৃত্বাধীন হিসেবে ১০টি দল নির্বাচনী জোট বা সমঝোতা করেছে যার মধ্যে রয়েছে মামুনুল হকের বাংলাদেশ খেলাফত মজলিস। বাংলাদেশ জামায়াতে ইসলামীর আমীর ডা. শফিকুর রহমান বলেছেন, ‘আমাদের জোটে একমাত্র শায়খ মামুনুল হক সাহেব এদেশের রাষ্ট্রপতি প্রধানমন্ত্রী হওয়ার যোগ্যতা রাখে’।",0,rumorscanner.com,Related,Fabricated
35,Facebook Page,2025-12-30 12:04:00,Politics,হাদি হত্যায় “মির্জা আব্বাসের” সম্পৃক্ততা পাওয়া গেছে ডিএমপি কমিশনার,"`হাদি হত্যায় “মির্জা আব্বাসের” সম্পৃক্ততা পাওয়া গেছে ডিএমপি কমিশনার’ শীর্ষক মন্তব্যটি ডিএমপির কমিশনার করেছেন দাবিতে ডিএমপি কমিশনার মো. সাজ্জাত আলীর ছবি যুক্ত চ্যানেল২৪ এর লোগো সম্বলিত একটি ফটোকার্ড সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। 
এছাড়া, ‘হাদির হত্যার সাথে শিবিরের সাদিক কায়েমের সম্পৃক্ততা পাওয়া গিয়েছে ডিএমপি কমিশনার’ শীর্ষক মন্তব্যটিও ডিএমপির কমিশনার করেছেন দাবিতে ডিএমপি কমিশনার মো. সাজ্জাত আলীর ছবি যুক্ত চ্যানেল২৪ এর লোগো সম্বলিত একটি ফটোকার্ড প্রচার হতে দেখা যায়।",0,rumorscanner.com,Related,Altered
36,Facebook Page,2025-12-29 12:04:00,Politics,"বেকার ভাতা নয়, যুবকদের হাতে অস্ত্র তুলে দিতে চাই: জামায়াত আমির","‘বেকার ভাতা নয়, যুবকদের হাতে অস্ত্র তুলে দিতে চাই: জামায়াত আমির’ ",0,rumorscanner.com,Related,Altered
37,Facebook Page,2025-12-29 3:37:00,Politics,যেকোনো সমন গ্রেপ্তার হতে পারে তারেক রহমান।, ‘২১শে গ্রেনেড হামলার মামলায় আজ রাতের ভিতর র‍্যাব ৮ এ গ্রেফতার হতে পারেন নির্বাসিত থাকা পলাতক আসামি তারেক রহমান।’ শীর্ষক শিরোনামে দৈনিক কালের কণ্ঠের ও “যেকোনো সমন গ্রেপ্তার হতে পারে তারেক রহমান।” ,0,rumorscanner.com,Related,Altered
38,Facebook Page,2025-12-29 1:43:00,Politics,শহীদ ওসমান হাদি হ’ত্যার বিচার না হওয়া পর্যন্ত দেশে কোন নির্বাচন হবে না- ভিপি সাদিক কায়েম,শরিফ ওসমান হাদি  মৃত্যুবরণ করেন এই ঘটনার প্রেক্ষিতে সম্প্রতি ‘শহীদ ওসমান হাদি হ’ত্যার বিচার না হওয়া পর্যন্ত দেশে কোন নির্বাচন হবে না- ভিপি সাদিক কায়েম’ শিরোনামে ডাকসু ভিপি ও ছাত্রশিবিরের প্রকাশনা সম্পাদক সাদিক কায়েমে,0,rumorscanner.com,Related,Fabricated
39,Facebook Page,2025-12-29 11:44:00,Politics,"ওসমান হাদী হত্যার সঠিক বিচারের জন্য যে কোন সাহায্যর জন্য প্রস্তুত পাকিস্তান। শহীদ ওসমান বলেছিলেন, হাদি বলেছিলেন আমাকে মেরে ফেললে যেন অন্তত বিচার টুকু নিশ্চিত করা হয়","পাকিস্তানের প্রধানমন্ত্রী শেহবাজ শরীফ বলেছেন, ‘ওসমান হাদী হত্যার সঠিক বিচারের জন্য যে কোন সাহায্যর জন্য প্রস্তুত পাকিস্তান। শহীদ ওসমান বলেছিলেন, হাদি বলেছিলেন আমাকে মেরে ফেললে যেন অন্তত বিচার টুকু নিশ্চিত করা হয়’।",0,rumorscanner.com,Related,Fabricated
40,Facebook Page,2025-12-28 5:27:00,Miscellaneous,ফরিদপুরে জেমসের কনসার্টে হামলায় ৫ জন নিহত,গত ২৬ ডিসেম্বর ফরিদপুর জিলা স্কুলের ১৮৫তম বর্ষপূর্তি অনুষ্ঠানের সমাপনী দিনে বহিরাগতদের হামলার মুখে দেশের জনপ্রিয় ব্যান্ড তারকা জেমসের (নগর বাউল) সংগীতানুষ্ঠান পণ্ড হয়ে যায়।   ফরিদপুরে জেমসের কনসার্টে হামলায় ৫ জন নিহত হয়েছে। ,0,rumorscanner.com,Related,Fabricated
41,Facebook Page,2025-12-28 5:14:00,Politics,আমাদের কথা না শোনলে তারেক রহমানকে আবাও দেশ ছাড়তে হবে,জাতীয় নাগরিক পার্টির (এনসিপি) উত্তরাঞ্চলের মুখ্য সংগঠক সারজিস আলম “আমাদের কথা না শোনলে তারেক রহমানকে আবাও দেশ ছাড়তে হবে” শীর্ষক মন্তব্য করেছেন দাবিতে ,0,rumorscanner.com,Related,Altered
42,Facebook Page,2025-12-28 3:32:00,Politics,"সারাদিন ইনসাফের কথা বললেও জামায়াতে ইসলামী দলেই নেই ইনসাফ, ১ ব্যাক্তি ৩ বার আমির বাকিরা বঞ্চিত","গত ২০ ডিসেম্বর ‘সারাদিন ইনসাফের কথা বললেও জামায়াতে ইসলামী দলেই নেই ইনসাফ, ১ ব্যাক্তি ৩ বার আমির বাকিরা বঞ্চিত’ শিরোনামে ডা. শফিকুর রহমানের ছবি যুক্ত করে ",0,rumorscanner.com,Related,Fabricated
43,Facebook Page,2025-12-28 12:49:00,Politics,হাদি হত্যার ১২৭ কোটি টাকা লেনদেন করা হয় জামায়াতে ইসলামীর ইসলামি ব্যাংকে: সিআইডি,হাদিকে গুলি করার সম্প্রতি ফয়সাল করিমের ছবি সংযুক্ত করে “হাদি হত্যার ১২৭ কোটি টাকা লেনদেন করা হয় জামায়াতে ইসলামীর ইসলামি ব্যাংকে: সিআইডি” ,0,rumorscanner.com,Related,Fabricated
44,Facebook Page,2025-12-27 3:05:00,Politics,"প্রথম আলো ও ডেইলি স্টারের উপর হামলাকারীরা নিষিদ্ধ ছাত্রলীগ, নিন্দা ডাঃ শফিকুর রহমানের","ইনকিলাব মঞ্চের মুখপাত্র শরিফ ওসমান হাদির মৃত্যুর খবরে প্রথম আলো ও ডেইলি স্টার পত্রিকা অফিস ভাংচুর ও লুটপাট করা হয়। এই ঘটনাকে কেন্দ্র করে বাংলাদেশ জামায়াতে ইসলামীর আমির শফিকুর রহমানকে উদ্ধৃত করে ‘প্রথম আলো ও ডেইলি স্টারের উপর হামলাকারীরা নিষিদ্ধ ছাত্রলীগ, নিন্দা ডাঃ শফিকুর রহমানের’ ",0,rumorscanner.com,Related,Fabricated
