Article ID,Domain,Date,Category,Headline_English,Content_English,Label,Source,Relation,F-Type
11,Facebook Page,2025-12-31 12:41:00,Politics,I will resign if NCP forms alliance with Razakar party Jamaat-e-Islami,"In the upcoming 13th National Assembly elections, Bangladesh Jamaat-e-Islami has formed an alliance or compromise with 10 parties, including the National Citizen Party-NCP, in the wake of this. In this context, Hasnat Abdullah, the chief organizer of the southern region of the National Citizen Party (NCP), has said, ""I will resign if the NCP forms an alliance with the ruling party Jamaat-e-Islami.""",0,rumorscanner.com,Related,Fake
12,Facebook Page,2025-12-31 12:38:00,International,Online activist Pinaki Bhattacharya arrested in France,"At least since the night of December 29, a claim has been circulating on social media, ‘Breaking News Pinaki Bhattacharya arrested in France Watch the video of his arrest in France in the comments’. A link to the detailed claim was attached to the comments section of the post, which claimed, ‘Online activist Pinaki Bhattacharya arrested in France | French police have just arrested online activist and YouTuber Pinaki Bhattacharya, who lives in France, on charges of spreading rumors and misleading information and causing various untoward incidents in Bangladesh. According to information received, French law enforcement agencies arrested him from his location in Paris today local time. Sources said that his activities have been under surveillance for a long time based on multiple videos and statements published on YouTube and social media. The complaint states that the content created by Pinaki Bhattacharya has played a role in spreading confusion about the internal situation in Bangladesh, creating panic in the public mind and inciting instability. Based on these allegations, he was arrested under France's cybercrime and digital disinformation laws...'",0,rumorscanner.com,Related,Fake
13,Facebook Page,2025-12-31 12:35:00,Politics,Some celebrities announce suicide after Osman Hadi's death,'A group of celebrities announced suicide following Osman Hadi's death',0,rumorscanner.com,Related,Fake
14,Facebook Page,2025-12-31 12:32:00,Politics,"Even though it is difficult, I want to say that everyone will celebrate Victory Day on December 16: Dr. Shafiqur Rahman","Quoting Bangladesh Jamaat-e-Islami Ameer Shafiqur Rahman, ""Even though it is difficult, I want to say that everyone will celebrate Victory Day on December 16: Dr. Shafiqur Rahman""",0,rumorscanner.com,Related,Fake
15,Facebook Page,2025-12-31 12:45:00,Politics,"Previously, when I went to Chhatra Dal programs, they forced me to engage in various bad activities, but now I feel safe with them.","Dhaka University poet Sufia Kamal Hall is Chhatra Dal convener Tawhida Sultana. 'Earlier, when I went to Chhatra Dal programs, I was forced to engage in various bad activities, but now I feel safe with them.'",0,rumorscanner.com,Related,Fake
16,Facebook Page,2025-12-31 12:32:00,Politics,She (Khaleda Zia) died long ago but it was not published for her son (Tareq Rahman).,"In the wake of the early morning death of BNP Chairperson and former Prime Minister Khaleda Zia, Bangladesh Jamaat-e-Islami Ameer Dr. Shafiqur Rahman said on social media, ""She (Khaleda Zia) died long ago but it was not revealed for her son (Tarique Rahman)."" The caption of the post, which was circulated, targeted BNP Acting Chairman Tarique Rahman, saying, ""The nation can expect something good from the son of someone who can treat his mother like this.""",0,rumorscanner.com,Related,Fake
17,Facebook Page,2025-12-31 12:08:00,Politics,"After Inna Lillah Osman Hadi, is Rashed Khan now shot?","On December 12, Inqilab Manch spokesperson Sharif Osman Hadi was shot in the head on Box Culvert Road in Purana Paltan, Dhaka. In the wake of this incident, since December 14, a poster with the picture of the then General Secretary of the People's Rights Council, Md. Rashed Khan, has been displayed on the wall of the 'Inna Lillah Osman Hadi'. Now, after Rashed Khan, is he the one who was shot?",0,rumorscanner.com,Related,Altered
18,Facebook Page,2025-12-31 12:03:00,International,Fire at Umrah site in Mecca,A video has been circulating on social media calling for a fire at the Umrah site in Mecca.,0,rumorscanner.com,Related,Fake
19,Facebook Page,2025-12-31 12:00:00,Politics,"""I was a member of Chhatra League in the past, and now I am a Shibir member. This is my democratic right. BNP has also spread misinformation about this.""","DUCSU VP and Chhatra Shibir Publications Editor Sadiq Kayem said, ""In the past, I was a Chhatra League member, and now I am a Shibir member. This is my democratic right. BNP has also spread misinformation about this.""",0,rumorscanner.com,Related,Fake
20,Facebook Page,2025-12-31 11:49:00,Politics,Khaleda Zia's killer Jamaat-Shibir wants to be banned,"BNP Chairperson and former Prime Minister Khaleda Zia died early yesterday (December 30). In light of this, ""I want Jamaat Shibir, who was involved in the murder of my mother, banned from the afternoon of December 30 at least."" Also, the caption claims that BNP said in a press conference that Jamaat Shibir killed Khaleda Zia in the hospital by using poison.",0,rumorscanner.com,Related,Fake
21,Facebook Page,2025-12-31 11:37:00,Politics,A student named Sajid was killed by Islamic University camp staff.,'A student named Sajid was murdered by Islamic University camp staff',0,rumorscanner.com,Related,Fake
22,Facebook Page,2025-12-31 11:10:00,Politics,Army raids recover Tk 16 crore from NCP coordinator Tasneem Zara's house,"""Tk 16 crore recovered from NCP coordinator Tasneem Zara's house in army raid""",0,rumorscanner.com,Related,Fake
23,Facebook Page,2025-12-30 11:03:00,Politics,"Sheikh Hasina is not afraid, I have not left the highway/ You are as much of a Razakar, leave Bengal at this moment","During the recent protest march of the Bangladesh Chhatra League, protesters were heard chanting slogans such as, ""Sheikh Hasina is not afraid, I have not left the road/ You are like Razakars, leave Bengal at this moment.""",0,rumorscanner.com,Related,Altered
24,Facebook Page,2025-12-30 6:33:00,Politics,Banned Chhatra League blocks road,'Banned Chhatra League blocked the road',0,rumorscanner.com,Related,Fake
25,Facebook Page,2025-12-30 6:28:00,Politics,"Even though it was difficult, Sheikh Hasina accepted the call and 160 million people would come to the streets to make the country independent again.","The demand has been circulated on social media, with Krishak Sramik Janata League President Quader Siddiqui saying, ""Even if it is difficult, if Sheikh Hasina calls, 160 million people will come to the streets and the country will be free again."" Quader Siddiqui on the demand titled",0,rumorscanner.com,Related,Fake
26,Facebook Page,2025-12-30 5:40:00,Politics,'All those who speak of opposing India are children of Razakars' Fazlur Rahman,"Quoting BNP nominee and former MP Advocate Fazlur Rahman for Kishoreganj-4 constituency, he said, ""All those who speak of opposing India are children of Razakars, India is our closest friend till now.""",0,rumorscanner.com,Related,Fake
27,Facebook Page,2025-12-30 5:31:00,Politics,I made a mistake by organizing the July movement: Bandhan,"Actress Ajmeri Haque, who was vocal on the streets during the July Movement, quotes Bandhan as saying, ""I made a mistake by holding the July Movement: Bandhan.""",0,rumorscanner.com,Related,Fake
28,Facebook Page,2025-12-30 5:04:00,Politics,"I don't want to stay in the country, it's ruined.","The comment titled 'I don't want to live in the country, the country has been destroyed' was made by Nahid Islam, convener of the Jatiya Nagorik Party.",0,rumorscanner.com,Related,Fake
29,Facebook Page,2025-12-30 4:54:00,Politics,The country was safer during Sheikh Hasina's tenure: UN declaration!,"""The country was safer during Sheikh Hasina's tenure: UN declares!"", citing ousted Prime Minister Sheikh Hasina, who was convicted of crimes against humanity committed during the July uprising.",0,rumorscanner.com,Related,Fake
30,Facebook Page,2025-12-30 4:39:00,Politics,"Former Prime Minister Sheikh Hasina, who was ousted in court, has been named the UN's 'Best Woman'.","A photocard circulating on social media claims that former Prime Minister Sheikh Hasina, who was convicted in court, has been awarded the UN's 'Best Woman' title.",0,fact-watch.org,Related,Fake
31,Facebook Page,2025-12-30 4:03:00,Politics,"I consider former Prime Minister Sheikh Hasina my elder sister, says Salauddin Ahmed","""I consider former Prime Minister Sheikh Hasina my elder sister,"" Salauddin Ahmed, a member of the Bangladesh Nationalist Party's (BNP) national standing committee, was quoted as saying.",0,rumorscanner.com,Related,Altered
32,Facebook Page,2025-12-30 3:37:00,Politics,A country that has camps doesn't need a separate enemy.,"Home Affairs Advisor Md. Jahangir Alam Chowdhury said, ""A country that has camps does not need a separate enemy.""",0,rumorscanner.com,Related,Fake
33,Facebook Page,2025-12-30 1:40:00,Politics,"""July fighter Dr. Mahmuda Mitu, victim of gang rape on her way home at night"" and ""Chittagong 10 constituency MP candidate and NCP leader Sagufta Mishma, victim of gang rape on her way home""","""July fighter Dr. Mahmuda Mitu, victim of gang rape on her way home at night"" and ""Chittagong 10 constituency MP candidate and NCP leader Sagufta Mishma, victim of gang rape on her way home""",0,fact-watch.org,Related,Fake
34,Facebook Page,2025-12-30 1:08:00,Politics,"""In our alliance, only Sheikh Mamunul Haque Saheb is qualified to be the President and Prime Minister of this country.""","Ahead of the upcoming parliamentary elections, 10 parties under the leadership of Jamaat-e-Islami have formed an electoral alliance or compromise, including Mamunul Haque's Bangladesh Khelafat Majlis. Bangladesh Jamaat-e-Islami Ameer Dr. Shafiqur Rahman said, ""In our alliance, only Sheikh Mamunul Haque Saheb has the qualifications to become the President and Prime Minister of this country.""",0,rumorscanner.com,Related,Fake
35,Facebook Page,2025-12-30 12:04:00,Politics,DMP Commissioner finds involvement of 'Mirza Abbas' in Hadi's murder,"A photocard with the Channel 24 logo and a picture of DMP Commissioner Md. Sajjat ​​Ali, claiming that the comment titled ``Mirza Abbas'' was found involved in Hadi's murder, DMP Commissioner'' has been circulated on social media. 
In addition, a photocard with the Channel 24 logo and a picture of DMP Commissioner Md. Sajjat ​​Ali, claiming that the comment titled ``Sadiq Qayem of Shibir has been found involved in Hadi's murder, DMP Commissioner'' has also been circulated.",0,rumorscanner.com,Related,Altered
36,Facebook Page,2025-12-29 12:04:00,Politics,"We want to give weapons to the youth, not unemployment benefits: Jamaat Amir","'We want to give weapons to the youth, not unemployment benefits: Jamaat Ameer'",0,rumorscanner.com,Related,Altered
37,Facebook Page,2025-12-29 3:37:00,Politics,Tarique Rahman can be arrested on any summons.,"""Tareq Rahman, the fugitive accused in the 21st grenade attack case, may be arrested by RAB 8 tonight,"" read the headline of the daily Kaler Kantho and ""Tareq Rahman may be arrested on any summons.""",0,rumorscanner.com,Related,Altered
38,Facebook Page,2025-12-29 1:43:00,Politics,No elections will be held in the country until the murder of martyr Osman Hadi is solved - VP Sadiq Qayem,"In the wake of the death of Sharif Osman Hadi, DUCSU VP and Chhatra Shibir Publications Editor Sadiq Kayem recently issued a statement titled 'There will be no elections in the country until the murder of martyr Osman Hadi is tried - VP Sadiq Kayem'.",0,rumorscanner.com,Related,Fake
39,Facebook Page,2025-12-29 11:44:00,Politics,"Pakistan is ready to provide any help for a fair trial in the murder of Osman Hadi. Shaheed Osman said, Hadi said that if he kills me, at least justice should be ensured","Pakistani Prime Minister Shehbaz Sharif said, ""Pakistan is ready for any help for a fair trial in the murder of Osman Hadi. Shaheed Osman said, Hadi said that if he kills me, at least justice should be ensured.""",0,rumorscanner.com,Related,Fake
40,Facebook Page,2025-12-28 5:27:00,Miscellaneous,5 killed in attack on James' concert in Faridpur,"On December 26, on the closing day of the 185th anniversary celebrations of Faridpur Zilla School, a concert by the country's popular band star James (Nagar Baul) was interrupted by an attack by outsiders. Five people were killed in the attack on James' concert in Faridpur.",0,rumorscanner.com,Related,Fake
41,Facebook Page,2025-12-28 5:14:00,Politics,"If Tarique Rahman doesn't listen to us, he will have to leave the country.","Sarjis Alam, the chief organizer of the Northern Region of the National Citizens Party (NCP), made a comment titled ""If we don't listen to him, Tarique Rahman will have to leave the country.""",0,rumorscanner.com,Related,Altered
42,Facebook Page,2025-12-28 3:32:00,Politics,"Despite talking about justice all day long, there is no justice in the Jamaat-e-Islami party, 1 person has been the Amir 3 times, the rest are deprived","On December 20, the headline ""Even though they talk about justice all day long, there is no justice in the Jamaat-e-Islami party, 1 person is the Amir 3 times, the rest are deprived"" was added with a picture of Dr. Shafiqur Rahman.",0,rumorscanner.com,Related,Fake
43,Facebook Page,2025-12-28 12:49:00,Politics,Tk 1.27 billion in Hadi murder case was transacted through Jamaat-e-Islami's Islamic Bank: CID,"Attaching a recent photo of Faisal Karim shooting Hadi, it says, ""Tk 127 crore for Hadi's murder was transacted in Jamaat-e-Islami's Islamic Bank: CID""",0,rumorscanner.com,Related,Fake
44,Facebook Page,2025-12-27 3:05:00,Politics,"Dr. Shafiqur Rahman condemns the attackers on Prothom Alo and Daily Star, saying they are members of the banned Chhatra League.","The offices of Prothom Alo and Daily Star newspapers were vandalized and looted after the news of the death of Inqilab Mancha spokesperson Sharif Osman Hadi. In this regard, the Bangladesh Jamaat-e-Islami Amir Shafiqur Rahman was quoted as saying, ""The attackers on Prothom Alo and Daily Star are the banned Chhatra League, condemnation of Dr. Shafiqur Rahman.""",0,rumorscanner.com,Related,Fake
45,Facebook Page,2025-12-26 7:49:00,Politics,Those who do not attend the Dhaka rally on the 25th to mark Tarique Rahman's return to the country will not receive family cards.,"A photocard featuring the design of mainstream media outlet Banglavision has been circulating on social media since at least noon on December 25, claiming that BNP standing committee member Amir Khasru Mahmud Chowdhury said, ""Those who do not come to the Dhaka rally on the 25th to mark Tarique Rahman's arrival in the country will not receive a family card.""",0,rumorscanner.com,Related,Fake
46,Facebook Page,2025-12-25 10:01:00,Politics,Former advisors Asif Mahmud and Mahfuz arrested video link in comments,'Former advisors Asif Mahmud and Mahfuz arrested in video link comments',0,fact-watch.org,Related,Fake
47,Facebook Page,2025-12-24 10:22:00,Politics,Tarique Rahman to visit Bangabandhu's grave upon returning home,"After almost a decade and a half, BNP acting chairman Tarique Rahman is returning home from London on December 25. In view of this, Tarique Rahman will visit Bangabandhu's grave at least from the afternoon of December 24.",0,rumorscanner.com,Related,Altered
48,Facebook Page,2025-12-24 3:37:00,Politics,Osman Hadi's killer's transaction of 127 crore taka in Mirza Abbas's Dhaka Bank!,"Inqilab Manch spokesperson Sharif Osman Hadi died. Police have identified one person as the main suspect in the shooting of Hadi. The person's name is Faisal Karim Masud alias Daud Khan. In light of this, a claim has recently been circulated online, 'Mirza Abbas's Dhaka Bank has been used to transact Tk 127 crores in Osman Hadi's murderer!'",0,rumorscanner.com,Related,Fake
49,Facebook Page,2025-12-24 12:09:00,Politics,"Inna Lillah, Sarjis Alam was just shot today.","The claim, ‘Inna Lillah, Sarjis Alam was just shot today’, has been circulating on social media since at least the afternoon of December 23. A link to the detailed claim was attached to the post’s comments section, which claimed, ‘Sarjis Alam shot in the capital, seriously injured. Sarjis Alam was shot in a shooting incident in a busy area of ​​the capital today. Eyewitnesses said that miscreants on a motorcycle suddenly opened fire on him and quickly left the scene. Sarjis Alam, who was shot, was immediately taken to a nearby private hospital. Doctors said that he was shot in a vital part of his body and is currently undergoing treatment in the Intensive Care Unit (ICU). His condition is said to be critical.’",0,rumorscanner.com,Related,Fake
50,Facebook Page,2025-12-24 10:42:00,Politics,"If Jamaat comes to power, we will implement the legal system of Pakistan. We will make travel to and from Pakistan free.","Bangladesh Jamaat-e-Islami Secretary General Mia Ghulam Parwar said, ""If Jamaat comes to power, we will implement the legal system of Pakistan. We will make travel to and from Pakistan free.""",0,rumorscanner.com,Related,Fake
51,Facebook Page,2025-12-24 10:37:00,Politics,"If I win Dhaka-8 seat, I will prosecute Hadi's murder: Sadiq Kayem","Since December 19, DUCSU VP and Chhatra Shibir Publications Editor Sadiq Kayem has been campaigning under the title 'If I win Dhaka-8 seat, I will prosecute Hadi's murder: Sadiq Kayem'",0,rumorscanner.com,Related,Fake
52,Facebook Page,2025-12-23 5:27:00,Miscellaneous	,Protesters cut off the organizer's hair at a memorial service for the death of Lalon Empress Farida Parveen,A video circulating on social media claims that Islamists in Bangladesh have cut the hair of students for dressing in line with Western culture and not growing beards. The video shows several men forcibly cutting the hair of a young man.,0,rumorscanner.com,Unrelated,Altered
53,Facebook Page,2025-12-23 4:59:00,Politics,"Prothom Alo-Daily Star arsonists identified, they are linked to Jamaat-e-Islami politics","In the wake of vandalism and arson at the head offices of the daily Prothom Alo and the Daily Star, a statement titled ""The arsonists at Prothom Alo and Daily Star have been identified and are linked to Jamaat-e-Islami politics"" has been spread on the internet claiming that the interim government's religious advisor, AFM Khalid Hossain, made the comment.",0,rumorscanner.com,Related,Fake
54,Facebook Page,2025-12-23 3:37:00,Politics,"There was no war in 1971 | If Jamaat-e-Islami comes to power, December 16 Victory Day will be canceled","Attaching a picture of Bangladesh Jamaat-e-Islami Ameer Shafiqur Rahman, the statement reads, ""There was no war in 1971 | Victory Day on December 16 will be cancelled if Jamaat-e-Islami comes to power.""",0,rumorscanner.com,Related,Fake
55,Facebook Page,2025-12-23 1:39:00,Politics,"We do not have accurate information about who killed our July comrade-in-arms Osman Hadi Bhai. We should not create any trouble by going to the Indian embassy. First, let it be proven that India is involved in this murder. Then we can put pressure on them diplomatically.","National Citizens Party (NCP) convener Nahid Islam made a comment titled, ""We do not have accurate information about who killed our July comrade-in-arms Osman Hadi Bhai. We should not create any trouble by going to the Indian embassy. First, let it be proven that India is involved in this murder. Then we will be able to put pressure on them diplomatically.""",0,rumorscanner.com,Related,Altered
56,Facebook Page,2025-12-23 10:12:00,Politics,Sheikh Hasina apologizes for Hadi issue,"Sheikh Hasina's voice can be heard saying, ""Dear countrymen, I have appeared before you today with a very heavy heart. It is very regrettable that some quarters have taken the opportunity of this movement to indulge in terrorist activities to fulfill their unwanted ambitions. The incidents that have occurred as a result are very painful and sad. I express my deepest condolences to the family members. I condemn every murder.""",0,rumorscanner.com,Related,Fake
57,Facebook Page,2025-12-22 10:53:00,Politics,"Brave Osman Hadi, I have not come to say goodbye, you will remain in the hearts of all militants.","A photocard with the logo of the national daily Prothom Alo was circulated on social media, claiming that at Osman Hadi's funeral, Chief Advisor Dr. Muhammad Yunus said, ""Vir Osman Hadi, I have not come to bid farewell, you will remain in the hearts of all militants.""",0,fact-watch.org,Related,Fake
58,Facebook Page,2025-12-22 2:45:00,Politics,"UN Secretary-General Antonio Guterres has awarded Tarique Rahman the title of 'World Leader' for his steadfastness in the face of imprisonment, oppression, and torture under a dictatorial regime.","'UN Secretary-General Antonio Guterres awarded Tarique Rahman the title of 'World Leader' for his steadfastness in the face of imprisonment, oppression, and torture under authoritarian rule'",0,rumorscanner.com,Related,Fake
59,Facebook Page,2025-12-22 2:09:00,Politics,"NCP leader Rumi was addicted to Yaba, says police","Police recovered the hanging body of Jannatara Rumi (30), joint coordinator of the NCP's Dhanmondi Police Station Coordination Committee, from a student dormitory adjacent to Jigatola Raw Market in Hazaribagh in the capital on the morning of December 18. In the wake of this, a photo card with the design of Somoy TV with the title 'NCP leader Rumi was addicted to Yaba, says police' has spread on the internet.",0,rumorscanner.com,Related,Altered
60,Facebook Page,2025-12-22 1:13:00,Politics,"If we come to power, we will produce a leader more worthy than Osman Hadi.","Quoting Mirza Abbas, a member of the BNP's standing committee and BNP-nominated candidate for Dhaka-8 constituency, and adding his photo, ""We will produce a leader more worthy than Osman Hadi if we come to power.""",0,rumorscanner.com,Related,Fake
61,Facebook Page,2025-12-22 12:29:00,Politics,Sheikh Hasina will return to Bangladesh as Prime Minister,"Prime Minister Narendra Modi has made a bold remark, saying, ""Sheikh Hasina will return to Bangladesh as Prime Minister.""",0,rumorscanner.com,Related,Fake
62,Facebook Page,2025-12-22 11:35:00,Politics,Bangladesh Army officer calls Jamaat-e-Islami a hypocrite party,"In the video, a man dressed as an army officer can be heard saying, ""Dear countrymen, today we are going through a critical time in Bangladesh, this is your last chance to build the country. Jamaat is a hypocritical party, they can do many things for power. They easily fool Bengalis. Once with the Awami League, once with the BNP, now they want to do (unclear) with the real Islamic parties. When they saw that the people of Bangladesh are lovers of Islam, they are claiming themselves to be an Islamic party. How many of their candidates have beards on their faces? Although it is also obligatory to have a beard. Because of them, the rest of the Islamic parties will be tarnished. I think Bangladesh is safe in the hands of BNP, because there are no hypocrites among them. So in the future, everyone should vote for BNP in the name of rice, then the country will improve.""",0,rumorscanner.com,Related,Fake
63,Facebook Page,2025-12-19 4:25:00,National,"Strict lockdown for 14 days from tomorrow, all factories will be closed, otherwise Bengalis will starve to death","A video has been circulated on social media with the caption, ""All factories will be closed for a strict 14-day lockdown from tomorrow, otherwise Bengalis will starve to death.""",0,rumorscanner.com,Related,Fake
64,Facebook Page,2025-12-18 12:53:00,Politics,78 expatriate wives raped by 1-year-old Shibir,"""My Country"" design with the title '78 expatriate wives raped at the hands of a 1-year camp'",0,rumorscanner.com,Related,Altered
65,Facebook Page,2025-12-18 12:31:00,Politics,All students are fleeing BRAC University due to sudden terrorist threat,"""All students are fleeing BRAC University due to sudden terrorist threats..Terrorist groups are threatening a terrible attack""",0,rumorscanner.com,Related,Fake
66,Facebook Page,2025-12-18 11:11:00,Politics,"A mural of Indira Gandhi and Sheikh Mujibur Rahman of Bangladesh has been erected in Delhi, India.","A mural of Indira Gandhi and Sheikh Mujibur Rahman of Bangladesh has been erected in Delhi, India, to mark Bangladesh's Victory Day on December 16, and was inaugurated by Indian Prime Minister Narendra Modi on December 16.",0,rumorscanner.com,Related,Fake
67,Facebook Page,2025-12-17 5:44:00,Politics,Those who verbally demand to trample on the Indian flag are real Razakars. India is our true friend.,"BNP Standing Committee member Salahuddin Ahmed Chowdhury recently gave a speech titled, ""Those who verbally demand that we trample on the Indian flag are real Razakars. India is our true friend.""",0,rumorscanner.com,Related,Fake
68,Facebook Page,2025-12-17 3:16:00,Politics,Jamaat did not nominate Abrarul Haque Asif for Rajshahi-3 constituency,'Jamaat nominated popular Islamic scholar Abrarul Haque Asif from Rajshahi-3 constituency to attract youth',0,rumorscanner.com,Related,Fake
69,Facebook Page,2025-12-17 1:06:00,International,222 killed in Japan's recent earthquake,"A powerful earthquake struck northeastern Japan at 11:15 p.m. local time on December 8. According to the country's meteorological agency, the 7.5-magnitude quake was centered about 80 kilometers east-northeast of Hachinohe city on the east coast of Aomori Prefecture, at a depth of 54 kilometers. In light of this, recent media and social media reports have claimed that the earthquake has killed 222 people in Japan.",0,fact-watch.org,Related,Fake
70,Facebook Page,2025-12-17 12:13:00,National,41 Bangladesh Army soldiers rescued with help from Pakistani Army in Sudan,"Bangladesh Army, with the help of the Pakistani Army, rescued 41 soldiers from a terrorist group that attacked a UN peacekeeping mission base in the mineral-rich Abyei region of Sudan.",0,fact-watch.org,Related,Fake
71,Facebook Page,2025-12-17 10:31:00,Politics,Jamaat Shibir attacks Hadi,"Dhaka University Assistant Professor and Assistant Proctor Shehreen Amin Bhuiyan (Monami) is alleged to have said that from today, I am no longer with the Jamaat camp that attacked my Hadi.",0,rumorscanner.com,Related,Fake
72,Facebook Page,2025-12-16 11:32:00,Politics,Sadiq Qayem arrested in connection with attack on Osman Hadi,Sadiq Qayem arrested in connection with the attack on Osman Hadi on December 14,0,rumorscanner.com,Related,Fake
73,Facebook Page,2025-12-15 5:14:00,Politics,I am the Prime Minister of Bangladesh. The people of the country do not want elections. They have rejected it.,"Quoting Sheikh Hasina, ""I am the Prime Minister of Bangladesh. The people of the country do not want elections. They have rejected them.""",0,rumorscanner.com,Related,Altered
74,Facebook Page,2025-12-14 10:26:00,Politics,Shishir Monir did not comment on the topic of spending time in a hotel with someone else's wife being a bad thing.,"Bangladesh Khelafat Majlis Amir Mamunul Haque and Jamaat-e-Islami's nominated candidate for Sunamganj-2 constituency in the 13th National Parliament election, Supreme Court lawyer Mohammad Shishir Monir, said, ""Spending time in a hotel with someone else's wife is not a bad thing, but it is a man's right: Shishir Monir.""",0,rumorscanner.com,Related,Fake
75,Facebook Page,2025-12-12 11:45:00,Politics,Attack on Mirza Abbas,"Sharif Osman Hadi, a potential independent candidate for Dhaka-8 constituency and spokesperson of Inqilab Manch, has been shot in Bijoynagar in the capital. He was shot in the Box Culvert area of ​​Bijoynagar in the capital on December 12. He is currently undergoing treatment at the hospital. Mirza Abbas, a member of the BNP standing committee and Hadi's rival candidate for Dhaka-8 constituency, went to Dhaka Medical College to see Hadi that day.",0,rumorscanner.com,Related,Fake
76,Facebook Page,2025-12-12 8:15:00,Politics,CIA chief Tulsi Gabbard has been tasked with eliminating Pakistani militant bases in Bangladesh.,"Donald Trump's comments on Bangladesh implicate Tulsi Gabbard CIA chief Tulsi Gabbard has been tasked with eliminating Pakistani militant bases in Bangladesh,",0,rumorscanner.com,Related,Fake
77,Facebook Page,2025-12-11 1:26:00,Politics,Voice of America claims that 75 percent of people want Awami League,"Quoting the international media Voice of America, 75 percent of Bangladeshis want the banned party Bangladesh Awami League.",0,rumorscanner.com,Related,Fake
78,Facebook Page,2025-12-09 5:48:00,Politics,The country will be free from Razakars again in December. We are ready.,"""The country will be free from Razakars again in December. We are ready,"" says former Prime Minister Sheikh Hasina.",0,rumorscanner.com,Related,Altered
